Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
27.54,12.030888936456702,-6.962393200979673,-39.56013517636484,-1.0996535321054517,-0.3081291111709788,-0.27616107365419607
27.55,13.041116251731692,2.6311779776751956,-27.870355197906946,-1.1663541254489174,-0.29677605238287136,-0.25614163012716046
27.56,9.699595131975954,13.106511213191727,-20.602808701035762,-1.212754538209589,-0.3166439052620594,-0.23898210710398712
27.57,6.464041912423888,18.813275245200394,-22.447120029015334,-1.224354641399757,-0.33935002283827426,-0.19304463401070016
27.58,5.178298056619355,19.617442241058228,-30.969346722987865,-1.2417547961850088,-0.37908572859665035,-0.20448431602614905
27.59,5.086459209776175,17.47299691877067,-42.12434497809109,-1.2504548735776349,-0.40179184617286523,-0.20734423653001127
27.6,3.249682272912556,13.720217604767441,-53.0462332512192,-1.2330547187923828,-0.4216596990520533,-0.18446487249911347
27.61,-0.8477432016293625,8.316779720319184,-58.94940073594192,-1.1344538416759553,-0.4216596990520533,-0.17302519048366458
27.62,-6.54175170590658,-0.2539474723761583,-57.57816554785302,-1.0590531709398638,-0.4358510225371876,-0.16158550846821568
27.63,-8.738819503462677,-9.586517082199975,-49.981522605840496,-0.9283707584381281,-0.42449796374908016,-0.19304463401070016
27.64,-9.925659985743785,-17.07091342084175,-37.640405913040375,-0.8935704488676243,-0.40179184617286523,-0.2016243955222868
27.65,-11.055984254582935,-21.719562984616427,-22.186585343278445,-0.8906704230700823,-0.39327705208178465,-0.19304463401070016
27.66,-10.391918746639934,-23.61006083452783,-5.615208095224056,-0.9138706294504182,-0.35070308162638175,-0.1987644750184246
27.67,-8.25843168920604,-16.873398720104742,10.051153928691656,-0.939970861628296,-0.3223204346561131,-0.224682504584676
27.68,-4.549555182077579,-16.555964379634542,17.065021915766394,-1.0619531967374058,-0.2996143170798982,-0.2447019481117116
27.69,7.67207597474573,-9.628841660929336,29.083898339365625,-1.0880534289152837,-0.3081291111709788,-0.2447019481117116
27.7,13.351955425662458,-3.7386711210934416,43.24875783232399,-1.0416530161546118,-0.2740699348066564,-0.29904043768509386
27.71,12.892761191446553,2.1656076116522387,52.3537594812343,-1.1315538158784135,-0.38476225799070407,-0.27616107365419607
27.72,16.23428231120229,3.5341023239015366,52.2920538977703,-1.1663541254489174,-0.4131449049609727,-0.2818809146619205
27.73,20.57190169287253,5.756142707192922,43.50929251806088,-1.2388547703874668,-0.45288061071934876,-0.3362194042353028
27.74,24.29490725336148,1.403765194523764,27.13674437227938,-1.2388547703874668,-0.4613954048104294,-0.3362194042353028
27.75,26.838136858249566,-8.119265019582173,11.388108237078336,-1.1199537126882455,-0.4670719342044831,-0.3190598812121294
27.76,26.689781797964425,-19.49046850487015,2.1871201250017998,-0.9834712485914258,-0.509645904659886,-0.31619996070826717
27.77,25.121456874950105,-25.966129050462186,5.375241937308498,-0.9225707068430441,-0.5011311105688054,-0.3276396427237161
27.78,21.75167764847339,-29.098147876434805,18.052311251190403,-0.8500700619044945,-0.44720408132529504,-0.3219198017159916
27.79,19.349738577190198,-26.883161589598313,36.01549221515503,-0.8703702424872883,-0.4443658166282682,-0.3190598812121294
27.8,18.650350435845972,-18.312434396902972,57.4821790846868,-0.8848703714749983,-0.4358510225371876,-0.33335948373144053
27.81,19.95728787169124,-4.42291847721809,74.14268661996697,-1.0066714549717617,-0.40463011086989215,-0.3533789272584761
27.82,22.592356323422507,3.230776176341125,77.94100809097323,-1.0619531967374058,-0.38476225799070407,-0.3276396427237161
27.83,26.36481357067317,12.690319522353022,70.14553604668781,-1.1054535837005355,-0.36489440511151605,-0.2818809146619205
27.84,38.8266386346248,12.61977855780409,59.57331274652237,-1.1257537642833295,-0.32515869935313996,-0.3676785297777872
27.85,50.786882304279054,-6.369849098768637,37.63354973709993,-1.0124715065668457,-0.37057093450556977,-0.27902099415805826
27.86,44.84561536619327,-30.11393776593944,8.193130248831192,-0.9312707842356701,-0.4670719342044831,-0.1673053494759401
27.87,24.669327167414448,-46.62052347038973,-15.803485542724601,-0.942870887425838,-0.5039693752658323,-0.03288908579441558
27.88,9.7066596586562,-62.280617600252825,-30.73623674101275,-0.8935704488676243,-0.5153224340539397,-0.0815077343600734
27.89,7.474269227698879,-71.27459058024176,-31.730382252377204,-0.8384699587143265,-0.47842499299259056,-0.13870614443731788
27.9,11.0347906745422,-69.4475795984244,-16.28341785855572,-0.8355699329167845,-0.3535413463234086,-0.2102041570338735
27.91,11.48692038207786,-56.44687983205608,8.494801990210751,-0.8993705004627083,-0.30529084647395194,-0.20734423653001127
27.92,9.699595131975954,-46.232548165370595,24.949624247277583,-0.963171068008632,-0.29677605238287136,-0.10152717788710897
27.93,10.229434632994307,-42.50798523718694,-2.88645007092714,-1.3345556217063523,-0.3421882875353011,-0.03288908579441558
27.94,13.486181432587108,-38.31785194298033,-40.862808605049295,-1.3751559828719402,-0.3365117581412474,-0.05004860881758893
27.95,17.555348800408048,-35.67256577239535,-64.12581357097753,-1.2504548735776349,-0.2740699348066564,-0.06148829083303783
27.96,15.598474909980268,-30.487804878048784,-82.2329742296915,-1.218554589804673,-0.3024525817769251,-0.06434821133690005
27.97,7.269397953971783,-27.3205155698017,-94.73178296912184,-1.1750542028415432,-0.3081291111709788,0.03860892680214003
27.98,-4.097425474541918,-19.765578266610987,-87.69734645422577,-0.9863712743889678,-0.282584728897737,0.015729562771242236
27.99,-10.829919400815104,-17.741052584056614,-56.01495743343167,-0.7224689268126471,-0.27123167010962956,-0.010009721763517785
28.0,-2.3807454912424593,-25.13374566878478,-22.46768855683667,-0.6963686946347692,-0.1944211317463401,-0.08722757536779785
28.01,16.206024204481313,-36.82943759099785,-0.7267546496871183,-0.7804694427634868,-0.13197930841174912,-0.1987644750184246
28.02,31.995241334828187,-47.34004130878884,9.338111630885427,-0.8529700877020364,-0.14900889659391028,-0.2130640775377357
28.03,36.54479651690576,-51.523120506540565,10.68192211521255,-1.0240716097570135,-0.24284902313936094,-0.10724701889483342
28.04,33.17501729042905,-49.68905542826831,5.642632798985834,-1.1112536352956195,-0.2910995229888176,-0.06148829083303783
28.05,22.966776237475475,-40.70919064118915,-3.146984756664031,-1.1431539190685813,-0.3166439052620594,-0.05004860881758893
28.06,6.139073685132633,-28.159953047934,-17.826057445155733,-1.215654564007131,-0.33367349344422054,0.004289880755793336
28.07,-8.7105613967417,-20.040688028351827,-33.58840593223767,-1.1953543834243372,-0.33367349344422054,-0.015729562771242236
28.08,-18.25473694175227,-15.28622701775375,-43.50243634212043,-1.0706532741300316,-0.29677605238287136,-0.0815077343600734
28.09,-20.15509461873809,-15.653040033408201,-45.648419411479566,-0.9312707842356701,-0.26555514071557584,-0.11296685990255786
28.1,-16.46034716497012,-20.118283089355653,-39.628696935769284,-0.8761702940823723,-0.21428898462552814,-0.1758851109875268
28.11,-8.159528315682614,-25.768614349725176,-32.182889864446544,-0.8645701908922044,-0.18022980826120577,-0.2102041570338735
28.12,0.7276462480652027,-29.47201498854415,-26.156311212795817,-0.8906704230700823,-0.17455327886715205,-0.2102041570338735
28.13,6.464041912423888,-30.621832710691756,-19.882910227289088,-0.937070835830754,-0.18022980826120577,-0.2016243955222868
28.14,9.939789039104275,-32.4629518854189,-11.765197913802783,-0.9196706810455021,-0.18306807295823266,-0.1873247930029757
28.15,16.46034716497012,-38.83985508064244,-1.6866192813493501,-0.8877703972725403,-0.1575236906849909,-0.1758851109875268
28.16,21.292483414257486,-49.343404701978535,5.889455132841836,-0.8906704230700823,-0.20861245523147443,-0.2016243955222868
28.17,22.42987220977688,-58.358539971332156,9.098145472969868,-0.9283707584381281,-0.22865769965422664,-0.178745031491389
28.18,19.370932157230932,-58.23862033159897,4.7718984545493806,-1.0095714807693037,-0.24852555253341466,-0.178745031491389
28.19,15.965830297352992,-44.6524305594745,-3.7640405913040373,-1.1286537900808715,-0.26555514071557584,-0.19590455451456237
28.2,20.444740212628123,-25.437071816345192,-6.431093032136953,-1.2620549767678029,-0.20009766114039382,-0.33335948373144053
28.21,34.02276049205841,-5.995981986659293,-2.804175959641806,-1.1257537642833295,-0.11494972022958794,-0.3762582912893739
28.22,57.18734347658074,23.292626494057632,4.99815226058405,-1.0619531967374058,-0.12914104371472226,-0.38197813229709837
28.23,68.27158583788466,58.055213823771744,17.236426314277505,-1.027152887166902,-0.12346451432066853,-0.3876979733048228
28.24,61.15054294419801,77.59506100382615,35.514991371502575,-0.8848703714749983,-0.2683934054126027,-0.1901847135068379
28.25,52.36933628065386,68.53760115574318,53.649576733978314,-0.7891695201561127,-0.32515869935313996,-0.06720813184076227
28.26,39.05270348839263,53.45594293518133,67.62246330060422,-0.7108688236224792,-0.38760052268773093,-0.2102041570338735
28.27,24.49271400040833,33.78912201893884,79.36023651064524,-0.7862694943585707,-0.39327705208178465,-0.18446487249911347
28.28,17.8167362875771,20.534474780194355,87.23798266621598,-0.8442700103094105,-0.33935002283827426,-0.153005746956629
28.29,18.530253482281815,28.096466179839958,89.19199280924266,-0.939970861628296,-0.3677326698085429,-0.17302519048366458
28.3,21.243031727495772,40.70919064118915,84.2692584840035,-1.0066714549717617,-0.3677326698085429,-0.20448431602614905
28.31,19.38506121059142,45.809302378077,75.02027714034386,-1.0153715323643877,-0.37057093450556977,-0.17016526997980236
28.32,17.145606252953854,31.990327422941053,51.51044984055962,-1.0153715323643877,-0.35070308162638175,-0.14728590594890456
28.33,16.65108938533673,6.059468854753333,14.391113298993032,-0.9167706552479601,-0.33935002283827426,-0.12440654191800676
28.34,16.44621811160963,-8.528402613965984,-30.743092916953195,-0.9515709648184639,-0.3677326698085429,-0.11296685990255786
28.35,12.461825063951627,1.4954684484373766,-77.86559015562833,-1.0066714549717617,-0.3961153167788115,-0.12726646242186898
28.36,1.533002289613097,32.935576347896756,-122.79411109336122,-1.0561531451423218,-0.4613954048104294,-0.1873247930029757
28.37,-14.206763153972066,81.15737971354726,-164.465948459383,-1.0590531709398638,-0.4585571401134025,-0.2130640775377357
28.38,-35.244923607740745,107.32807756120135,-169.02530545977856,-0.9979713775791357,-0.3904387873847578,-0.2733011531503338
28.39,-61.044575043994335,81.43954357174299,-84.07728555767106,-0.5569862047404076,-0.19725939644336696,-0.25328170962329827
28.4,-77.49079315560397,69.29238947641674,20.760500747665986,-0.44968525023135414,-0.07805227916823873,-0.18160495199525126
28.41,-84.14557728839446,102.49602148959944,97.0217457332303,-0.5801864111207434,0.00993392643959402,-0.2332622660962627
28.42,-91.74700799633774,149.28584327490663,163.98601614355186,-0.5859864627158274,-0.03831657340986265,-0.20448431602614905
28.43,-104.75986614134847,184.32354036636158,225.57504461656492,-0.5598862305379496,-0.18306807295823266,-0.09008749587166007
28.44,-114.6148808602898,166.4555140461169,232.486069964533,-0.5279859467649877,-0.29677605238287136,-0.0700680523446245
28.45,-105.87606135682712,55.55100958228463,205.7675523246207,-0.7717693653708608,-0.3308352287471937,-0.11296685990255786
28.46,-101.8563456757679,-6.927122718705207,132.42703828968575,-1.2678550283628867,-0.31948216995908624,-0.0815077343600734
28.47,-89.35919797841504,-56.48920441078543,42.515147006696424,-1.2707550541604287,-0.3279969640501668,-0.10152717788710897
28.48,-75.54804831853669,-83.61925937630501,-38.12033822887149,-1.1750542028415432,-0.36489440511151605,-0.20734423653001127
28.49,-71.2033644101862,-84.47280504734711,-92.1401484636338,-1.0211715839594717,-0.4613954048104294,-0.250421789119436
28.5,-77.66740632261009,-75.42945339217391,-117.86452059218162,-0.9660710938061738,-0.5124841693569129,-0.3276396427237161
28.51,-88.43374498330299,-83.80971998058713,-110.60383027125089,-0.8935704488676243,-0.5891173161766382,-0.41629717834344504
28.52,-91.11826512179597,-102.41137233214073,-74.36208425006119,-0.8558701134995784,-0.6091625605993904,-0.45347614489365395
28.53,-77.12343776823124,-106.93304815972732,-28.617678375415398,-0.8674702166897463,-0.4954545811747517,-0.46777574741296507
28.54,-53.5137896028535,-94.53900068847982,16.475390784888166,-0.8210698039290746,-0.345026552232328,-0.3991376553202717
28.55,-27.424492572709873,-65.54666425886842,58.03067315992236,-0.8239698297266166,-0.3223204346561131,-0.35623884776233833
28.56,0.24725843380856405,-35.023588898545164,97.98161036489253,-0.8297698813217006,-0.29677605238287136,-0.4134372578395828
28.57,31.267595086762984,-16.51363980090518,134.4770348958787,-0.8703702424872883,-0.2939377876858445,-0.4420364628782051
28.58,59.8365409816725,-9.607679371564656,155.84087912630378,-0.9660710938061738,-0.3478648169293549,-0.4649158269091028
28.59,76.48056584032898,-3.258992562160698,153.37265578774375,-1.1779542286390852,-0.4613954048104294,-0.33335948373144053
28.6,79.84328054012545,-3.1249647295177256,127.29176251029283,-1.2388547703874668,-0.529513757539074,-0.2733011531503338
28.61,73.41456126110279,-15.314443403573325,84.68062904043018,-1.2823551573505967,-0.6943105015101962,-0.21592399804159795
